Num,Disease,PatinentsNumber,TotalObservation,AvgDailyDeath,DeathToll,TotalPatients,AvgDailyPatients,PatientsAboveSixty,PatientsUnderSixty,MalePatients,FemalePatients,Year,Days,Months,DailyMinTemp,DailyAvgTemp,DailyMaxTemp,City,Country,LAT,LON,Literature,Page,Journal,
39,Daily CVD,null,null,100,null,null,null,null,null,null,null,2007–2013,null,null,null,13.2,null,Beijing,China,40.19971121,116.4049231,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
40,non-accidental mortality,null,null,null,731*117.7,null,null,731*88.2,731*29.5,null,null,2007-2008,null,null,9.3,14.8,19.4,Beijing,China,40.24797302,116.3644284,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
41,cardiovascular disease,null,null,null,54.2,null,null,null,null,null,null,2007-2008,null,null,9.3,14.8,19.4,Beijing,China,40.24285965,116.360439,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
42,Ischemic heart disease,null,null,null,28.8,null,null,null,null,null,null,2007-2008,null,null,9.3,14.8,19.4,Beijing,China,40.17196681,116.4670969,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
43,cercbral disease,null,null,null,23.1,null,null,null,null,null,null,2007-2008,null,null,9.3,14.8,19.4,Beijing,China,40.12277911,116.4837167,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
44,respiratory diseases,null,null,null,14.1,null,null,null,null,null,null,2007-2008,null,null,9.3,14.8,19.4,Beijing,China,40.2879512,116.4344636,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
45,COPD,null,null,null,6.6,null,null,null,null,null,null,2007-2008,null,null,9.3,14.8,19.4,Beijing,China,40.17211457,116.3746193,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
46,Myocardial infarction,null,null,null,null,null,null,31.2,32.6,45.2,18.6,2012-2014,null,null,6.75,12.42,18.44,Beijing,China,40.10114454,116.438847,极端温度对北京地区居民心血管病发生的时间序列分析,null,Academic dissertation,
47,AECOPD ,null,null,null,null,250,null,null,null,129,121,2006-2010,null,summer,null,20.3 ,null,Berlin,Germany,52.5170365,13.3888599,Increased vulnerability of COPD patient groups to urban climate in view of global warming,2018. 13: p. 3493-3505.,International Journal of Chronic Obstructive Pulmonary Disease,
48,Cardio-respiratory disease,null,"667,034",5.97,null,null,null,null,null,null,null, 1990-1996,"1,461",null,null,15.28,null,Bilbao,Spain,43.2630018,-2.9350039,"Relation between Temperature and Mortality in Thirteen 
Spanish Cities","2010, 7, 3196-3210",International Journal of Environmental Research and Public Health,
49,emergency department visits,null,820000,null,null,null,192,null,null,null,null,2014-2016,null,null,null,28.5,null,Binyang,China,23.1729928,108.9397846,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
50,heat disease,null,null,13,null,null,null,null,null,null,null,2003,56,6-8,null,null,41,Bordeaux,France,44.841225,-0.5800364,Effects of temperature and ozone on daily mortality during the August 2003 heat wave in France,"60:4, 205-212",Archives of Environmental & Occupational Health,
51,heat disease,null,"35,085",null,"35,085",null,null,"35,085",0,null,null,1997–2011,null,11-3,null,null,34.2,Brisbane,Australian,-27.4689682,153.0234991,Heatwave and elderly mortality: An evaluation of death burden and health costs considering short-term mortality displacement,115 (2018) 334–342,Environment International,
52,cardiovascular disease.,null, 896 649,null,22 842,null,null,20941,1901,9988,12 854,1996-2004,3257,null,9.6,20.5,34.5,Brisbane,Australia,-27.52749396,153.0706292,"Effects of Extreme Temperatures on Years of Life Lost for Cardiovascular Deaths: A Time Series Study in Brisbane, Australia",2012;5:609-614,Circulation-Cardiovascular Quality and Outcomes,
53,non-accidental deaths ,null,null,24,null,null,null,null,null,12,12,1988-2011,null,12~2,20.3,24.8,29.2,Brisbane,Australia,-27.40934094,152.932957,The Impacts of Heatwaves on Mortality Differ with Different Study Periods: A Multi-City Time Series Investigation,10.1371,PLOS ONE,
54,Circulatory deaths,null,null,12,null,null,null,null,null,6,6,1988-2011,null,12~2,20.3,24.8,29.2,Brisbane,Australia,-27.55023384,153.0251691,The Impacts of Heatwaves on Mortality Differ with Different Study Periods: A Multi-City Time Series Investigation,10.1371,PLOS ONE,
55,cardiovascular disease.,null,1698106,36.9,null,null,null,null,null,null,null, 1993–2001,null,6-8,null,21.3,null,Budapest,Hungary,47.48138955,19.14609413,"An ecological time-series study of heat-related mortality in three 
European cities","2008, 7:5",Environmental Health,
56,Respiratory,null,1698106,24.75,null,null,null,null,null,null,null, 1993–2001,null,6-8,null,21.3,null,Budapest,Hungary,47.43662251,19.24536159,"An ecological time-series study of heat-related mortality in three 
European cities","2008, 7:5",Environmental Health,
57,Respiratory,null,null,1.9,null,null,null,null,null,null,null,1996–2002,null,null,null,18.1,null,Budapest,Belgium,47.47356413,19.07038886,Changes in the Effect of Heat on Mortality in the Last 28 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
58,Respiratory,null,null,2.5,null,null,null,null,null,null,null,2004–2010,null,null,null,18.5,null,Budapest,Belgium,47.46841235,19.06892422,Changes in the Effect of Heat on Mortality in the Last 29 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
59,Cardiovascular,null,null,32.7,null,null,null,null,null,null,null,1996–2002,null,null,null,18.1,null,Budapest,Belgium,47.47953112,19.05570619,Changes in the Effect of Heat on Mortality in the Last 46 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
60,Cardiovascular,null,null,28.9,null,null,null,null,null,null,null,2004–2010,null,null,null,18.5,null,Budapest,Belgium,47.48016954,19.13530157,Changes in the Effect of Heat on Mortality in the Last 47 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
61,heat disease,null,1797222,null,3990,null,null,null,null,null,null,1992–2001,null,null,null,null,21.8 ,Budapest,Belgium,47.53731069,19.23386793,Impact of Summer Heat on Urban Population Mortality in Europe during the 1990s: An Evaluation of Years of Life Lost Adjusted for Harvesting,2013. 8(7).,Plos One,
62,cardiovascular disease,null,"1,797,222",34.9,null,null,null,null,null,null,null,1992–2001,1822,4-9,null,null,38.8,Budapest,Belgium,47.55066375,19.13190162,Heat effects on mortality in 15 European cities,2008;19: 711–719,Epidemiology,
63,respiratory disease,null,"1,797,222",2.2,null,null,null,null,null,null,null,1992–2001,1822,4-9,null,null,38.8,Budapest,Belgium,47.53608078,19.22159538,Heat effects on mortality in 15 European cities,2008;19: 711–719,Epidemiology,
64,death,null,"3,771,000",43.32,null,null,null,25.55,17.77,null,null,1994–2003,null,6-8,null,23.82,null,Busan,Korea,35.1799528,129.0752365,"High Temperature, Heat Index, and Mortality in 6 Major Cities in South Korea","Vol. 61, No. 6, 2006",Archives of Environmental & Occupational Health,
65,Allergic disease,null,null,null,null,null,21.5,null,null,null,null,2003-2008,null,null,null,14.7,null,Busan,Korea,35.22676942,129.0181648,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
66,Asthma,null,null,null,null,null,21.9,null,null,null,null,2003-2008,null,null,null,14.7,null,Busan,Korea,35.18606493,128.980905,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
67,Selected respiratory disease,null,null,null,null,null,140.3,null,null,null,null,2003-2008,null,null,null,14.7,null,Busan,Korea,35.16360107,129.0584423,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
68,Cardiovascular disease,null,null,null,null,null,288.7,null,null,null,null,2003-2008,null,null,null,14.7,null,Busan,Korea,35.13551411,129.0494709,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
69,out-of-hospital cardiac arrest ,null,null,null,null,null,2.8,null,null,null,null,2006-2013,null,null,null,15,null,Busan,Korea,35.13575159,129.0403854,"Heat, heat waves, and out-of-hospital cardiac arrest",221:232-237,International Journal of Cardiology,
70,all-cause non-accidental mortality,null,null,null,36402,null,null,14455,21947,18304,18098,2006-2010,null,null,null,17,null,Cape Town,South Africa,-33.928992,18.417396,"Heat effects of ambient apparent temperature on all-cause mortality in Cape Town, Durban and Johannesburg, South Africa: 2006-2010",587:266-272,Science of the Total Environment,
71,Cardio-respiratory disease,null,"168,023",1.77,null,null,null,null,null,null,null, 1990-1996,"1,827",null,null,19.07,null,Cartagena,Spain,37.6019353,-0.9841152,"Relation between Temperature and Mortality in Thirteen 
Spanish Cities","2010, 7, 3196-3210",International Journal of Environmental Research and Public Health,
72,Cardio-respiratory disease,null,"134,213",1.58,null,null,null,null,null,null,null, 1990-1996,"1,826",null,null,17.23,null,Castellón,Spain,40.25185675,-0.06150511,"Relation between Temperature and Mortality in Thirteen 
Spanish Cities","2010, 7, 3196-3210",International Journal of Environmental Research and Public Health,
73,Diabetes mortality,null,null,1.46,null,null,null,null,null,null,null,2006-2011,null,null,24.8,27.9,31.3,Cebu,Philippines,10.34953135,123.7816927,How Does Ambient Air Temperature Affect Diabetes Mortality in Tropical Cities?,"14, 385",International Journal of Environmental Research and Public Health,
74,mortality,null,null,52,null,null,null,null,null,null,null,2008-2011,null,null,null,6.2,null,Changchun,China,43.8130735,125.3171216,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531,Scientific Reports,
75,Daily CVD,null,null,30,null,null,null,null,null,null,null,2007–2013,null,null,null,6.2,null,Changchun,China,43.8230735,125.3171216,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
76,mortality,null,null,92,null,null,null,null,null,null,null,2008-2013,null,null,null,18.3,null,Changsha,China,28.1450774,113.2384362,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531,Scientific Reports,
77,Daily non-accidental deaths,null,null,3.34,null,null,null,null,null,null,null,2008-2012,null,null,–3,18.27,35.5,Changsha,China,28.1550774,113.2384362,The influence of temperature on mortality and its Lag effect: a study in four Chinese cities with different latitudes,16:375,Bmc Public Health,
78,Daily CVD,null,null,48,null,null,null,null,null,null,null,2007–2013,null,null,null,18.4,null,Changsha,China,28.1450774,113.2484362,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
79,Daily mean stroke death,null,null,8.7,null,null,null,null,null,null,null,2009-2013,null,5~9,null,25.9,null,Changzhou,China,31.8122623,119.9691539,Heat and mortality for ischemic and hemorrhagic stroke in 12 cities of,601–602 (2017) 271–277,Science of the Total Environment,
80,Ischemic,null,null,3.3,null,null,null,null,null,null,null,2009-2013,null,5~9,null,25.9,null,Changzhou,China,31.8222623,119.9691539,Heat and mortality for ischemic and hemorrhagic stroke in 13 cities of,601–602 (2017) 271–277,Science of the Total Environment,
81,Hemorrhagic,null,null,3.2,null,null,null,null,null,null,null,2009-2013,null,5~9,null,25.9,null,Changzhou,China,31.8122623,119.9791539,Heat and mortality for ischemic and hemorrhagic stroke in 14 cities of,601–602 (2017) 271–277,Science of the Total Environment,
82,mortality,null,null,200,null,null,null,null,null,null,null,2008-2013,null,null,null,16.3,null,Chengdu,China,30.6598628,104.0633717,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531,Scientific Reports,
83,Daily CVD,null,null,55,null,null,null,null,null,null,null,2007–2013,null,null,null,16.4,null,Chengdu,China,30.6698628,104.0633717,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
84,emergency department visits,null,17421000,null,null,null,130,null,null,null,null,2014-2016,null,null,null,24.7,null,Chengdu,China,30.6598628,104.0733717,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
85,cardiovascular disease,null,"1,603,220",null,"11,746",null,null,null,null,null,null,1999–2008,null,null,null,null,33.5,Chiang Mai, Thailand,18.7882778,98.9858802,"Effects of temperature on mortality in Chiang Mai city, Thailand: a time series study","2012, 11:36",Environ Health,
86,respiratory disease,null,"1,603,220",null,"10,839",null,null,null,null,null,null,1999–2008,null,null,null,null,33.5,Chiang Mai, Thailand,18.7982778,98.9858802,"Effects of temperature on mortality in Chiang Mai city, Thailand: a time series study","2012, 11:36",Environ Health,
87,cardiovascular disease.,null,5190965,42,null,null,null,null,null,null,null,1993–1997,null,6-8,null,null,40,Chicago,US,41.8755616,-87.6244212,"The Effect of the 1995 Heat Wave in Chicago on 
All-Cause and Cause-Specific Mortality","Supplement 1, 2007, Vol 97, No. S1",American Journal of Public Health,
88,heat-related illnesses,null,null,3,null,null,null,null,null,null,null,2013,null,6-8,34,null,null,Chongqing,China,29.5647398,106.5478767,"Heat-related illness in China, summer of 2013",60(1):131–137,Int J Biometeorol,
89,Daily CVD,null,null,180,null,null,null,null,null,null,null,2011–2013,null,null,null,19,null,Chongqing,China,29.5747398,106.5478767,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
90,cardiovascular disease,null,2525000,6.37,null,null,null,null,null,null,null,1991–2008,null,6-8,null,25.07,null,Daegu,Korea,35.8713,128.6018,Distributed lag effects in the relationship between temperature and mortality in three major cities in South Korea, 409 (2011) 3274–3280,Science of the Total Environment,
91,death,null,"2,525,000",27.03,null,null,null,16.49,10.54,null,null,1994–2003,null,6-8,null,25.19,null,Daegu,Korea,35.90509298,128.5679227,"High Temperature, Heat Index, and Mortality in 6 Major Cities in South Korea"," Vol. 61, No. 6, 2006",Archives of Environmental & Occupational Health,
92,Allergic disease,null,null,null,null,null,11.4,null,null,null,null,2003-2008,null,null,null,14.5,null,Daegu,Korea,35.89539109,128.5623162,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
93,Asthma,null,null,null,null,null,11.9,null,null,null,null,2003-2008,null,null,null,14.5,null,Daegu,Korea,35.90799201,128.6135009,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
94,Selected respiratory disease,null,null,null,null,null,68.6,null,null,null,null,2003-2008,null,null,null,14.5,null,Daegu,Korea,35.8439764,128.5887389,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
95,Cardiovascular disease,null,null,null,null,null,161.3,null,null,null,null,2003-2008,null,null,null,14.5,null,Daegu,Korea,35.83030111,128.6344873,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
96,out-of-hospital cardiac arrest ,null,null,null,null,null,1.8,null,null,null,null,2006-2013,null,null,null,14.6,null,Daegu,Korea,35.89563694,128.6270752,"Heat, heat waves, and out-of-hospital cardiac arrest",221:232-237,International Journal of Cardiology,
97,death,null,"1,403,000",13.16,null,null,null,8.36,4.8,null,null,1994–2003,null,6-8,null,24.61,null,Daejeon,Korea,36.3496,127.3848,"High Temperature, Heat Index, and Mortality in 6 Major Cities in South Korea"," Vol. 61, No. 6, 2006",Archives of Environmental & Occupational Health,
98,Allergic disease,null,null,null,null,null,6.4,null,null,null,null,2003-2008,null,null,null,13.2,null,Daejeon,Korea,36.38912603,127.3386813,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
99,Asthma,null,null,null,null,null,6.4,null,null,null,null,2003-2008,null,null,null,13.2,null,Daejeon,Korea,36.39306117,127.3742434,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
100,Selected respiratory disease,null,null,null,null,null,34.6,null,null,null,null,2003-2008,null,null,null,13.2,null,Daejeon,Korea,36.39205666,127.4294122,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
101,Cardiovascular disease,null,null,null,null,null,85.9,null,null,null,null,2003-2008,null,null,null,13.2,null,Daejeon,Korea,36.3287729,127.4203135,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
102,out-of-hospital cardiac arrest ,null,null,null,null,null,1.2,null,null,null,null,2006-2013,null,null,null,12.9,null,Daejeon,Korea,36.32982092,127.3378555,"Heat, heat waves, and out-of-hospital cardiac arrest",221:232-237,International Journal of Cardiology,
103,Diabetes mortality,null,null,1.39,null,null,null,null,null,null,null,2006-2011,null,null,24.1,28.3,31.9,Davao,Philippines,7.0648306,125.6080623,How Does Ambient Air Temperature Affect Diabetes Mortality in Tropical Cities?,"14, 385",International Journal of Environmental Research and Public Health,
104,cardiovascular disease,null,9900000,4,null,null,null,null,null,null,null,1991-1994,null,null,14,25,35,Delhi,Indian,28.6517178,77.2219388,"Mortality displacement of heat-related deaths: a comparison of Delhi, São Paulo, and London",2005;16: 613– 620,Epidemiology,
105,Respiratory disease,null,9900000,2.25,null,null,null,null,null,null,null,1991-1994,null,null,14,25,35,Delhi,Indian,29.6617178,78.2219388,"Mortality displacement of heat-related deaths: a comparison of Delhi, São Paulo, and London",2005;16: 613– 620,Epidemiology,
106,heat disease,null,null,7,null,null,null,null,null,null,null,2003,56,6-8,null,null,39,Dijon,France,47.3215806,5.0414701,Effects of temperature and ozone on daily mortality during the August 2003 heat wave in France," 60:4, 205-212",Archives of Environmental & Occupational Health,
